"country_total","pcs_local","pcs_total","methods_unique_ct","segment_length_days","had_social_elites","had_campaigner_violence","had_repressive_violence","cluster_total","class_total","success_goal","success_survival","success_growth","success_total","success_above_avg"
1,1,1,6,17,1,1,1,2,1,3,1,3,7,1
1,0,1,11,10.5,1,0,1,2,1,5,1,3,9,1
1,1,4,7,60.84,0,1,1,1,1,6,1,2,9,1
1,1,4,17,60.84,0,0,1,1,1,2,1,3,6,0
1,0,1,12,12,0,0,1,2,1,5,1,3,9,1
1,0,0,7,4,0,0,1,1,1,0,1,3,4,0
1,1,3,9,365,0,0,1,2,1,4,1,2,7,1
1,0,1,15,730,1,0,0,2,1,6,1,2,9,1
1,0,3,10,243.36,1,0,0,1,1,6,1,3,10,1
1,0,0,14,0.333333333333333,0,0,1,1,1,4,1,0,5,0
1,0,0,22,2,1,0,1,1,1,6,1,1,8,1
1,0,0,18,1,0,0,1,1,1,3,1,1,5,0
1,0,0,12,425.88,0,0,0,1,1,6,1,3,10,1
1,0,2,12,1,1,0,1,1,1,0,0,2,2,0
1,0,2,19,608.4,1,1,1,3,1,4,1,3,8,1
1,0,1,6,7300,1,0,1,1,1,5,1,3,9,1
1,0,1,12,228.15,0,0,0,1,1,6,1,3,10,1
1,0,1,21,121.68,1,0,0,2,1,3,1,3,7,1
1,0,1,7,45.63,1,0,0,2,1,6,1,3,10,1
1,0,2,6,182.52,0,0,1,2,1,2,0,2,4,0
1,1,3,12,121.68,0,1,1,1,1,1,1,2,4,0
1,1,3,4,14,0,0,1,1,1,4,1,3,8,1
1,1,4,10,76.05,0,1,1,2,1,2,0.5,2,4.5,0
1,1,4,7,15,0,0,1,2,1,6,1,3,10,1
1,1,3,14,14,1,0,1,2,1,1,1,1,3,0
1,1,1,4,1,0,0,0,1,1,6,1,1,8,1
1,1,3,3,25,1,1,1,2,1,6,1,2,9,1
1,1,3,3,30.42,0,0,0,1,1,0,0.5,2,2.5,0
1,1,4,5,91.26,1,1,1,4,1,5,1,2,8,1
1,0,1,3,0,1,0,0,1,1,4,1,3,8,1
1,1,4,18,146,0,0,1,2,1,6,1,3,10,1
1,1,1,10,42,0,0,0,1,1,0,1,2,3,0
1,1,2,15,273.78,1,0,0,2,1,6,1,2,9,1
1,0,1,3,14,0,1,0,2,1,2,1,2,5,0
1,0,1,9,60.84,0,0,0,2,1,5,1,2,8,1
1,0,1,13,121.68,1,0,0,3,1,4,1,2,7,1
1,1,2,13,25,0,0,0,2,1,0,1,3,4,0
1,0,2,6,365,1,1,0,3,1,6,1,3,10,1
1,0,1,9,2,0,0,0,2,1,6,1,1,8,1
1,0,1,11,121.68,1,0,0,2,1,4,1,2,7,1
1,0,1,10,60.84,1,0,0,3,1,1,0,1,2,0
1,0,3,13,212.94,1,0,0,2,1,5,1,3,9,1
1,0,0,6,7,0,1,1,2,1,0,1,3,4,0
1,0,1,6,15,1,0,0,2,1,6,1,1,8,1
1,0,1,9,4,1,0,0,1,1,5,1,3,9,1
1,0,0,10,56,1,0,1,2,1,4,1,3,8,1
6,0,1,14,121.68,1,0,0,3,1,6,1,3,10,1
1,0,2,9,60.84,0,0,1,2,1,2,0.5,2,4.5,0
1,0,0,13,7,0,1,1,2,1,5,1,3,9,1
2,0,0,9,30.42,0,0,1,3,1,0,1,3,4,0
1,0,1,14,63,0,0,0,1,1,2,1,1,4,0
1,0,1,9,60.84,0,0,1,1,1,6,1,3,10,1
2,0,0,11,13,0,1,0,1,1,0,0.5,2,2.5,0
1,1,2,4,2,1,0,0,1,1,6,1,2,9,1
1,0,0,3,5,0,0,0,2,1,6,1,1,8,1
1,0,1,7,91.26,1,1,1,1,1,0,0.5,3,3.5,0
1,0,0,3,6,1,0,0,3,1,0,0.5,3,3.5,0
1,0,2,13,334.62,0,0,0,1,1,5,1,1,7,1
1,0,1,10,25,0,0,0,1,1,3,1,3,7,1
1,1,3,21,20,1,1,1,2,1,5,1,3,9,1
1,0,0,10,15,1,0,0,2,1,0,1,3,4,0
1,0,3,2,0,0,0,0,2,1,6,1,3,10,1
1,0,0,7,30.42,0,0,1,1,1,6,1,1,8,1
1,0,1,12,395.46,1,0,0,1,1,1,1,3,5,0
1,0,1,7,365,0,0,1,2,1,6,1,1,8,1
1,1,5,7,1.5,1,0,0,1,1,6,1,3,10,1
1,1,5,13,60.84,0,0,1,2,1,4,1,2,7,1
1,1,2,3,4,0,0,0,2,1,0,1,0,1,0
1,0,3,11,30.42,1,0,1,2,1,0,0,1,1,0
1,0,0,7,6.3,1,0,0,1,1,1,1,1,3,0
1,1,3,9,30.42,1,0,0,1,1,6,1,3,10,1
1,0,3,5,182.52,1,0,1,4,1,6,1,2,9,1
1,0,2,5,10,1,1,1,1,1,3,0.5,2,5.5,0
